ID,Scheduled,PassThru,Start Time,End Time,Event,School Name,School Code,Sport,PubPoint
8a6728a4-4862-4c2f-a58d-7a4a9418c610,scheduled,False,1618081200,1618099200,Behind-the-Mic,Texas Tech University,text,Baseball,texastech_BTM
26a79f93-fc30-4f66-8dfb-1f276ab8ef87,scheduled,True,1618155000,1618176600,WSU Baseball vs Houston,Wichita State,wich,Baseball,
6f70c23b-2abe-4e7f-90e4-4c9789686f61,scheduled,True,1617997500,1618020000,vs. Boston College ,North Carolina State University,ncst,Baseball,
afd57d3e-3241-4a73-8b4c-32762522e988,scheduled,True,1618008300,1618030800,vs. Rice,Louisiana Tech University,latc,Baseball,
89051679-f727-4c16-b6aa-ee43c1838467,scheduled,False,1618155000,1618167660,Women's Lacrosse vs. Marquette,Georgetown University,gu,Women's Lacrosse,georgetown_1
dd51a6e5-6b5c-4730-909e-8339f25f997b,scheduled,False,1618079400,1618102800,TCU vs. Texas Tech,Texas Christian University,tcu,Baseball,tcu_audio1
44abb3de-f7fd-4c3d-8087-82ece97869c3,scheduled,False,1618081200,1618095600,UAlbany vs Binghamton (game 2),America East Conference,aeast,Baseball,binghamton_4
b3408b86-b3a6-4528-bfb8-f5169c6cb968,scheduled,False,1618073100,1618095600,vs. Rochester University,Indiana Institute of Technology,intc,Baseball,itech_3
9ac5c557-0e86-4584-9875-1fa9b52a5945,scheduled,False,1618083900,1617645200,Baseball vs. Seton Hill (Game Two),Slippery Rock University,sroc,Baseball,rock_2
90bd82e5-8257-49b8-8829-a4936880c950,scheduled,False,1618066800,1618077600,Softball vs. Montclair (DH),"Rutgers, The State Univ. of New Jersey, Camden",rutc,Softball,rcamden_1
787a8b91-e0cc-46f2-8d2a-852fcc73359f,conflict,False,1618158600,1618167600,Boston University at Holy Cross,Patriot League,patr,Women's Lacrosse,hc_1
d11e64af-35bd-4882-bacd-f8cd7b6e33b4,scheduled,False,1617921900,1617932700,RIT vs Ithaca ,Rochester Institute of Technology,rit,Women's Basketball,RIT_1
9a97907f-efcc-4766-ae72-ead702bac08b,conflict,False,1618170300,1617307671,vs. Augustana,Illinois Wesleyan University,illw,Softball,IWUTitans_2
ec953255-a660-4c92-ab01-a10a9f91f3af,scheduled,False,1618011900,1618030740,Baseball vs. Ozarks,LeTourneau University,leto,Baseball,letu_1
b39de03b-1679-44fd-9d22-9f54fef84fb6,scheduled,True,1618008300,1618023600,at Troy (Audio Only),University of Louisiana at Lafayette,ulaf,Softball,
f912e6de-afda-49fe-944f-d45bca1e8c83,scheduled,True,1618077600,1618092000,Spring Game,University of Alabama at Birmingham,albr,Football,
fd85bed0-8bff-4cd2-a854-4a6925f1714e,scheduled,True,1617749100,1617771600,vs. Southeastern Louisiana,Louisiana Tech University,latc,Baseball,
471b9526-1851-4914-8908-cb3de382ab33,scheduled,False,1618095600,1618106400,Lafayette at Bucknell,Patriot League,patr,Men's Lacrosse,bucknell_1
3380afa8-78cd-47eb-a934-ca3508eb60b4,scheduled,True,1617841800,1617845400,Cat Chat with Brent Vigen,Montana State University-Bozeman,mtsu,Football,
dd092104-e63f-410d-bc29-1655158d6491,scheduled,False,1618088400,1618099200,Women's Soccer vs. WPU or Ramapo (NJAC Semifinals),"Rutgers, The State Univ. of New Jersey, Camden",rutc,Women's Soccer,rcamden_1
d6ac1613-9c03-4498-9743-8ba13f5a3fb7,scheduled,False,1617962400,1617293144,GGC Women's Tennis vs Tennessee Wesleyan,Georgia Gwinnet College,ggc,Women's Tennis,Gwinnett_6
2fbab7a7-cbec-4575-851c-0b27a7564f11,scheduled,False,1617831900,1617840900,SB vs Mount Mary G1,Dominican University (Illinois),domi,Softball,dustars_1
5bc7455e-a220-4f9a-a277-3adb36520f75,scheduled,False,1618083600,1618095600,vs. Concordia University (Mich.),Cornerstone University,cose,Baseball,cornerstone_2
5c7388cb-107d-45b4-8a5f-748c9442b8f6,scheduled,False,1618073100,1618091100,RIT vs University of Rochester,Rochester Institute of Technology,rit,Softball,RIT_1
9ffd721d-726b-4644-8aa5-b59afffeddeb,conflict,False,1618170300,1617307660,vs. Augustana,Illinois Wesleyan University,illw,Softball,IWUTitans_1
85881fab-da21-461e-8046-4c7fb180e99b,scheduled,False,1618069800,1618084800,Marquette Men's Lacrosse vs. Georgetown,Marquette University,marq,Men's Lacrosse,marquette_1
46a21981-8624-460b-b215-dfdcf62f5958,scheduled,True,1618164000,1618187400,vs. Arkansas,University of Mississippi,ole,Baseball,
95484e34-eef7-4684-a277-4359e585dbc5,scheduled,True,1618018200,1618037940,vs. Oregon,Oregon State University,orst,Baseball,
bc5dc027-9160-4add-a360-8de6ba2511e5,scheduled,False,1617994800,1618016400,Penn State at Michigan State,Pennsylvania State University,psu,Baseball,psu_audio2
ca2cd0d6-5209-4687-9bd7-938e50bd043c,scheduled,False,1618087200,1618106400,vs. Texas State,Troy University,troy,Baseball,troy_wtbf_1
e540c25f-a4b0-403f-b8c7-8e710769ab75,scheduled,False,1618159500,1618181100,RIT vs University of Rochester (DH),Rochester Institute of Technology,rit,Baseball,RIT_1
1274a935-48e5-4690-bf97-ec1db0a3b620,scheduled,False,1618159500,1618171200,Women's Lacrosse vs. Manhattan,Quinnipiac University,quic,Women's Lacrosse,quinnipiac_2
cc077e12-3bd5-4b54-a28d-2e5a611af45d,scheduled,False,1618069500,1618088400,Keystone Softball vs. College of Saint Elizabeth,Keystone College,keys,Softball,keystone_1
fed0e37e-accb-4904-8bb6-4f5bb53b1245,scheduled,True,1618080300,1618095600,Audio: Alabama,Texas A&M University,tam,Baseball,
c47b45f4-ebe3-4fc4-b810-14cebd01c5a8,scheduled,True,1618009200,1618025400,Baseball vs. Maryland,Nebraska,neb,Baseball,
78d15776-8270-453a-8d5e-c3728b316a99,scheduled,False,1617825000,1617825600,UH Soccer vs SMU,University of Houston,hou,Women's Soccer,houston_1
db1fc59e-9fd5-475e-98e5-1874cdcc0d22,scheduled,False,1618072800,1618080300,vs. WHAC Tournament Final,Cornerstone University,cose,Women's Volleyball,cornerstone_1
4444bc08-706d-45a4-b5cb-1997d413bb2b,scheduled,False,1618155000,1618164000,Lafayette at Colgate (Game 1 of 2),Patriot League,patr,Softball,colgate_1
0d5c53fd-6901-4f87-a1da-e331a6508664,scheduled,False,1617822000,1617831000,vs. Concordia University (Mich.),Madonna University,mdna,Softball,madonna_softball
3fea19de-9043-435c-8c5c-e89e0f713caa,scheduled,False,1618001400,1618023600, Baseball vs Indiana,"University of Illinois, Champaign",ill,Baseball,illinois_wdwsaudio
1799f2a8-82a9-41e5-a32f-2d7c650ec637,scheduled,False,1618095600,1618110000,NJIT vs Stony Brook,America East Conference,aeast,Men's Lacrosse,njit_2
f2ae2024-9524-45d0-9698-2aaee088791f,scheduled,False,1618158600,1618167600,vs. Lincoln Memorial University,Newberry College,nwbr,Baseball,newberry_1
c53effb2-8582-45dc-834d-4fdaa00554bb,scheduled,False,1617984000,1617994800,UMBC vs. UAlbany,America East Conference,aeast,Women's Lacrosse,albany_3
584cb036-66a8-4a6f-b725-067ffe6c09e0,scheduled,False,1617832800,1617847200,South Alabama at Troy,University of South Alabama,sala,Softball,southalabama_3_audio
1fbfa547-fb4a-4c58-a62e-63ea6178766f,scheduled,True,1618073100,1618092000,BSB: WKU vs Marshall,Conference USA,c-usa,Baseball,
a65b3462-a775-445e-b7d2-c330c4476fbe,scheduled,False,1617820200,1617836400,Men's Soccer vs. UConn,Providence College,prov,Men's Soccer,providence_1
7ae76f4d-602a-42c9-b0cd-52915f71dcc2,scheduled,True,1618165800,1618185600,Baseball at Auburn,Mississippi State University,msst,Baseball,
d986f7b6-fea3-4a03-ac1e-8dbfaef364af,scheduled,False,1617986700,1618002000,vs. Memphis,East Carolina University,ecu,Baseball,ecu_2
c5127d37-1fa6-418a-aefd-1d1c6a61adcd,scheduled,False,1618166700,1618180200,Softball vs. Thomas More University GAME TWO,University of the Cumberlands,cumberlands,Softball,cumberlands_2
823a3c4b-c307-4cc0-ad0c-985461829089,scheduled,False,1618164900,1618179300,Water Polo vs. Marist,VILLANOVA UNIVERSITY,nova,Women's Water Polo,villanova_1
